r0 7k 
r1 7k030
r2 7k060
r3 7k090
r4 7k120
r5 7k150
r6 7k180
r7 7k210
r8 7k240
r9 7k270
r10 7k300
r11 7k330
r12 7k360
r13 7k390
r14 7k420
r15 7k450
r16 7k480
r17 7k510
r18 7k540
r19 7k570
r20 7k600
r21 7k630
r22 7k660
r23 7k690
r24 7k720
r25 7k750
r26 7k780
r27 7k810
r28 7k840
r29 7k870
r30 7k900
r31 7k930
r32 7k960
r33 7k990
r34 8k020
r35 8k050
r36 8k080
r37 8k110
r38 8k140
r39 8k170
r40 8k200
r41 8k230
r42 8k260
r43 8k290
r44 8k320
r45 8k350
r46 8k380
r47 8k410
r48 8k440
r49 8k470
r50 8k500
r51 8k530
r52 8k560
r53 8k590
r54 8k620
r55 8k650
r56 8k680
r57 8k710
r58 8k740
r59 8k770
r60 8k800
r61 8k830
r62 8k860
r63 8k890
r64 8k920
r65 8k950
r66 8k980
r67 9k010
r68 9k040
r69 9k070
r70 9k100
r71 9k130
r72 9k160
r73 9k190
r74 9k220
r75 9k250
r76 9k280
r77 9k310
r78 9k340
r79 9k370
r80 9k400
r81 9k430
r82 9k460
r83 9k490
r84 9k520
r85 9k550
r86 9k580
r87 9k610
r88 9k640
r89 9k670
r90 9k700
r91 9k730
r92 9k760
r93 9k790
r94 9k820
r95 9k850
r96 9k880
r97 9k910
r98 9k940
r99 9k970
r100 10k 
